0.590909,0.863636,0.23456,1.35703,['9.0/21', '55.0/55', '0.0/20', '1.0/11', '0.0/3']
0.736364,0.909091,0.206128,1.31797,['16.0/26', '64.0/65', '1.0/12', '0.0/4', '0.0/3']
0.727273,0.918182,0.193665,1.341,['9.0/20', '55.0/62', '11.0/21', '3.0/5', '2.0/2']
0.636364,0.936364,0.188518,1.30114,['10.0/32', '56.0/59', '0.0/12', '1.0/3', '3.0/4']
0.718182,0.927273,0.168278,1.3205,['17.0/25', '54.0/61', '5.0/18', '1.0/4', '2.0/2']
0.645454,0.954545,0.190637,1.32335,['16.0/26', '49.0/56', '0.0/17', '4.0/8', '2.0/3']
0.718182,0.945454,0.186973,1.32757,['18.0/27', '54.0/64', '2.0/13', '4.0/4', '1.0/2']
0.781818,0.945454,0.191662,1.29069,['12.0/23', '67.0/67', '4.0/13', '2.0/5', '1.0/2']
0.7,0.972727,0.168948,1.29975,['9.0/23', '59.0/63', '3.0/14', '4.0/8', '2.0/2']
0.818182,0.936364,0.15793,1.28354,['16.0/24', '61.0/67', '7.0/11', '3.0/4', '3.0/4']
0.718182,0.963636,0.175429,1.33168,['21.0/24', '46.0/66', '4.0/9', '5.0/7', '3.0/4']
0.727273,0.918182,0.199318,1.36049,['20.0/27', '38.0/54', '11.0/16', '6.0/8', '5.0/5']
0.763636,0.981818,0.170405,1.29821,['28.0/31', '51.0/56', '1.0/13', '2.0/7', '2.0/3']
0.672727,0.954545,0.182079,1.32065,['17.0/28', '42.0/53', '9.0/21', '5.0/6', '1.0/2']
0.736364,0.936364,0.184601,1.31725,['13.0/19', '67.0/70', '0.0/14', '1.0/6', '0.0/1']
0.718182,0.945454,0.18131,1.31744,['18.0/29', '52.0/56', '3.0/17', '1.0/3', '5.0/5']
0.709091,0.936364,0.176527,1.30287,['14.0/24', '54.0/59', '3.0/15', '4.0/8', '3.0/4']
0.8,0.945454,0.163117,1.29023,['16.0/23', '63.0/67', '3.0/10', '5.0/9', '1.0/1']
0.8,0.972727,0.146562,1.27189,['15.0/23', '59.0/65', '4.0/8', '4.0/7', '6.0/7']
0.763636,0.945454,0.173684,1.27347,['12.0/22', '65.0/67', '1.0/14', '5.0/5', '1.0/2']
0.727273,0.990909,0.182234,1.30972,['15.0/33', '60.0/62', '1.0/11', '1.0/1', '3.0/3']
0.8,0.963636,0.167458,1.30598,['15.0/23', '63.0/65', '4.0/13', '3.0/6', '3.0/3']
0.8,0.972727,0.162517,1.32639,['17.0/23', '59.0/71', '7.0/9', '4.0/5', '1.0/2']
0.736364,0.918182,0.167119,1.30052,['13.0/15', '57.0/69', '6.0/19', '2.0/2', '3.0/5']
0.763636,0.963636,0.164765,1.29049,['16.0/19', '52.0/64', '9.0/17', '6.0/8', '1.0/2']
0.8,0.981818,0.18013,1.2868,['15.0/26', '60.0/60', '3.0/12', '7.0/9', '3.0/3']
0.809091,0.936364,0.165382,1.3159,['16.0/21', '60.0/61', '5.0/15', '3.0/8', '5.0/5']
0.745455,0.936364,0.181974,1.33568,['13.0/19', '54.0/58', '5.0/19', '9.0/11', '1.0/3']
0.718182,0.909091,0.200087,1.32287,['15.0/26', '63.0/67', '0.0/11', '1.0/4', '0.0/2']
0.745455,0.963636,0.175433,1.28973,['12.0/20', '58.0/64', '8.0/19', '3.0/5', '1.0/2']
0.763636,0.963636,0.169412,1.28295,['23.0/32', '58.0/60', '0.0/12', '1.0/3', '2.0/3']
0.809091,0.963636,0.162884,1.2969,['18.0/25', '57.0/61', '11.0/18', '1.0/4', '2.0/2']
0.663636,0.954545,0.171542,1.32038,['15.0/24', '49.0/57', '1.0/17', '6.0/9', '2.0/3']
0.7,0.945454,0.18437,1.31716,['18.0/28', '54.0/60', '2.0/16', '1.0/4', '2.0/2']
0.790909,0.972727,0.164525,1.26845,['19.0/22', '62.0/67', '3.0/13', '2.0/7', '1.0/1']
0.754545,0.972727,0.161739,1.28801,['13.0/24', '60.0/64', '3.0/12', '5.0/8', '2.0/2']
0.818182,0.936364,0.169668,1.29829,['12.0/20', '66.0/71', '5.0/11', '3.0/4', '4.0/4']
